Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d'insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l'université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;24;77;9;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc15_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;9;100;3;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc17_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;85;74;32;92;47;88;96;1800;28100;21;11.4;1840;15;21;51;1430;2210;Nice - Sophia-Antipolis_30;disc04_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;14;70;6;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc05_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc10_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;10;76;3;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc13_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;10;76;3;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc13_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;13;88;4;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc14_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;13;88;4;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc14_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;49;87;17;90;76;73;89;1780;27800;21;11.4;1840;34;38;8;1430;2210;Nice - Sophia-Antipolis_30;disc16_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;142;76;55;92;41;81;96;1630;25500;21;11.4;1840;14;29;64;1430;2210;Nice - Sophia-Antipolis_30;disc01_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;85;74;32;90;52;77;99;1760;27500;21;11.4;1840;20;21;51;1430;2210;Nice - Sophia-Antipolis_18;disc04_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc07_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;105;84;36;86;89;64;98;1600;25000;21;11.4;1840;22;41;25;1430;2210;Nice - Sophia-Antipolis_18;disc12_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;24;77;9;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc15_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;49;87;17;81;91;72;97;ns;;21;11.4;1840;42;38;8;1430;2210;Nice - Sophia-Antipolis_18;disc16_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;14;70;6;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc05_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;8;77;3;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc06_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;142;76;55;89;41;71;98;1550;24200;21;11.4;1840;15;29;64;1430;2210;Nice - Sophia-Antipolis_18;disc01_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;43;82;17;90;25;62;100;1410;22000;21;11.4;1840;11;55;88;1430;2210;Nice - Sophia-Antipolis_18;disc03_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;43;82;17;91;31;67;100;1550;24200;21;11.4;1840;17;55;88;1430;2210;Nice - Sophia-Antipolis_30;disc03_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;8;77;3;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc06_18
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc07_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc10_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;105;84;36;92;83;67;94;1780;27700;21;11.4;1840;21;41;25;1430;2210;Nice - Sophia-Antipolis_30;disc12_30
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;9;100;3;ns;ns;ns;ns;ns;;21;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc17_30
